pre_lon,pre_lat,pre_delta_time,post_delta_time,pre_sar_date,post_sar_date,pre_HV_db,post_HV_db,pre_agbd,post_agbd,sar_status,hansen_loss_min,hansen_loss_max,hansen_loss_mode,v2c_drop_reason,passes_v2c
-71.01598548874179,-8.537729823999015,49873451.043652,144817038.508378,2019-07-30 16:01:25.426000+00:00,2022-07-26 16:01:29.630000+00:00,,,153.957718,10.867406845092773,no_match,,,,,False
-71.01221256454849,-8.543119715703739,49873451.151084,144817038.61581,2019-07-30 16:01:25.426000+00:00,2022-07-26 16:01:29.630000+00:00,,,130.908691,50.604568,no_match,,,,,False
-71.36525047120746,-8.898583073629823,87272877.418188,145961284.988656,2020-09-28 16:28:37.966000+00:00,2022-08-15 16:28:39.212000+00:00,-11.324089440801387,-10.841259287536133,278.958099,0.29965901374816895,ok,20.0,22.0,22.0,edge,False
-71.37549126544643,-8.893732171095579,87272877.207456,145961285.277896,2020-09-28 16:28:37.966000+00:00,2022-08-15 16:28:39.212000+00:00,-9.56835330191393,-11.605512830224825,25.48245620727539,100.363792,ok,20.0,20.0,20.0,,True
-71.48517556163742,-8.577345528028687,53567687.374967,149066953.558527,2019-09-25 16:21:39.149000+00:00,2022-09-21 16:21:41.880000+00:00,-12.071007107068155,-10.311333099916126,70.88714599609375,10.686676979064941,ok,14.0,22.0,22.0,edge,False
-71.23751003780566,-8.893462676510353,77962117.589152,149066959.703148,2020-07-01 16:21:39.730000+00:00,2022-09-21 16:21:41.880000+00:00,-12.526862948390487,-11.0106084161538,272.608948,217.848389,ok,18.0,20.0,20.0,edge,False
-71.23751003780566,-8.893462676510353,77962117.589152,159135922.082367,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-12.526862948390487,-14.299361202961435,272.608948,234.246277,ok,18.0,20.0,20.0,edge,False
-71.15935660808726,-8.795905636654965,77962119.535435,159135924.02865,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-10.32663308386985,-14.546260627861102,1108.42041,57.564529,ok,20.0,20.0,20.0,,True
-71.16474649979199,-8.77380708066562,77962119.510643,159135924.003858,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-10.948611089027892,-15.25505177285352,467.365326,163.334305,ok,19.0,21.0,21.0,edge,False
-71.24289992951039,-8.9104408353802,77962117.270942,159135921.764159,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-10.203946843003749,-10.937112547596357,313.903839,162.405029,ok,17.0,22.0,17.0,edge,False
-71.22861671649288,-8.822585600593314,77962118.287474,135892360.169977,2020-07-01 16:21:39.730000+00:00,2022-04-20 16:21:41.505000+00:00,-10.79721090763556,-14.407058368024252,266.091583,4.028763771057129,ok,21.0,22.0,21.0,edge,False
-71.24505588619226,-8.88403036602709,77962117.328804,159135921.830288,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-11.40590538556944,-14.627776914110967,457.974701,140.350281,ok,21.0,21.0,21.0,,True
-71.1633990268658,-8.791863217876426,77962119.597415,159135924.09063,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-11.292100608526681,-13.246348716786628,281.161285,203.22994995117188,ok,21.0,21.0,21.0,,True
-71.23346761902712,-8.897505095288878,77962117.527172,159135922.020387,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-13.291862174708598,-11.499620024236648,303.164856,253.453583,ok,21.0,21.0,21.0,,True
-71.27227483930109,-8.941163218097088,77962116.647001,159135921.140215,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-11.263077623004108,-12.061835189715083,344.788239,517.939087,ok,22.0,23.0,22.0,edge,False
-71.1701363914967,-8.801026033774448,77962119.415596,159135923.908814,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-11.566611379376752,-11.760142096436311,524.038696,166.624893,ok,22.0,24.0,22.0,edge,False
-71.23724054322042,-8.892923687339874,77962117.597416,159135922.090631,2020-07-01 16:21:39.730000+00:00,2023-01-25 16:21:43.778000+00:00,-9.301677038114008,-14.71020806833161,232.53713989257812,2.1525421142578125,ok,18.0,20.0,20.0,edge,False
